D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0,0.555571555,0.035513121,0.067504611,0.286284847,0.306193108,0,0,0,0,0.133226136,0.171717443,0.075315691,0.130779362,0.116474661,0,0,0.109368903,0,0.217511792,0.180335359,0,0.319366859,0.49278588,0.841057925,0,0,0,0.22819412,0.090085604,0.227121447,0.269824753,0.648966619,0.530844145,0,0,0,0.020010508,0.037653434,0.037593404,0.642015751,0.450108201,0.745197267,0.034371379,0.283206884,0.071709542,0,0.200561032,0.085530418,1,0.343274976,0.186749228,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
0.096450885,0.039801674,0.111931031,0.454901851,0.447162034,0.621915965,0.101365735,0.331350202,0.010149335,0.476252793,0.650111315,1,0.86472835,0.85089699,0.422052239,0.029604293,0.010323074,0.024160127,0.301689254,0.074714148,0.260688683,0.077676033,0.082775556,0.344133297,0.395093144,0.097566145,0,0.038226141,0.256520175,0.082426916,0.560716498,0.320806328,0.077736977,0.85260124,0.201631829,0.296415717,0.461905658,0.176505792,0.131245813,0.064918273,0.055089755,0.11992984,0.027262347,0.23065533,0.178224178,0.168884047,0.47346836,0.094164344,0.429223514,0.170139359,0.338958215,0.181887556,0.039957279,0.506772496,0.224037467,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0.002588445,0.025347415,0.468077211,0.23343859,0.279320789,0.525922707,0.09987302,0,0.059744327,0,1,0.858983159,0.483363481,0.753571124,0.648109413,0.022247726,0,0,0.164358578,0,0,0,0,0.001510783,0.205293772,0,0.121232587,0,0.266724965,0,0,0.110332623,0.211900083,0.463538556,0.041397057,0.068831999,0.058913607,0,0,0,0.151601609,0.787873072,0.261118381,0.037955682,0.770678757,0.438959896,0,0.100821986,0.226235944,0,0,0.369632247,0,0,0.545076374,Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci
0.348150671,0.011173381,0.091470013,0.227229912,0.392059566,0.285971819,0.237632781,0.02272628,0.010448566,0.146818826,0.248989838,0.298789366,0.32761854,0.27412469,0.284298243,0.697029696,0.145932218,0.558722948,0.073155087,0.042804341,0.043311793,0.060300829,0.119599822,0.075025063,0.054178113,0,0.029077678,0,0,0.129937117,0.174969171,0.120995276,0.162718662,0.065547639,0.890231525,1,0.689083052,0.031962704,0.024960526,0.025937239,0.016214822,0.043462659,0.048323236,0.137490971,0.077271379,0.153581199,0.134614043,0.243025143,0.158945759,0.019304895,0.031880026,0.064301758,0.211923106,0.238138875,0.192405417,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus
0.035842445,0.399527654,0.148354946,0.264677147,0.326068189,0.464239013,0.079975723,0.072235193,0.011073663,0.369237443,0.452280904,0.565861389,0.515387099,0.540914229,0.31924097,0.478762222,0.665894921,0.899964205,0,0,0,0.085967632,0.164018754,0.028081697,0.133430989,0.104706207,0.080595992,0.022112844,0,0.126552728,0.151128264,0,0.130605186,0.118116181,1,0.922590039,0.787931911,0.052672742,0,0.108417888,0,0.024144705,0,0.048302222,0.018391316,0.191118359,0.080439762,0.132774679,0.221141897,0.043409695,0.096784785,0.006735826,0.208320166,0.325157994,0.223753977,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador
0,0,0.061963712,0.123649058,0.015887494,0.025794977,0,0,0,0,0,0,0.114288752,0.118645866,0.23561535,0,0.182206377,0,0.213631354,0,0,0.227425304,0.487776741,0.937023235,0.252886981,0,0,0,0.079717724,0.04309828,0.079556266,0.304412514,0.788374764,0.466991483,0.008061853,0.068198477,0.21339067,0.238225998,0,0.5422918,0.860316546,0.309530252,0.290832209,0.041794168,0.0542727,0.041675009,0.361601954,0.387883411,0.212660391,1,0.817490486,0.308536331,0.033876846,0.116893042,0.011076069,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
0,0,0.027972156,0.274021182,0.173503867,0.268024298,0.022266096,0,0.026128069,0.120932488,0.016930968,0,0.309022029,0.140209013,0.203006794,0.118806322,0.054471915,0.030617284,0,0,0,0.149485176,0.340746226,0.398142535,0.330225322,0,0.012167588,0.051412058,0.072223301,0.101830146,0.223290854,0.104869956,0.22242329,0.234532374,0.065405731,0.144790113,0.021476025,0,0.08376548,0.052102232,0.737374103,0.510374951,1,0.044479504,0.097534511,0.0796255,0.404747099,0.159661865,0.077440093,0.363640075,0.226493861,0.466174363,0,0.046537525,0.007984661,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer
0.658517751,0.259497479,0.077083091,0.025384606,0.09388558,0.029594324,0,0.285391013,0.03570727,0.23394138,0.129229206,0.065455526,0.181193244,0.163397225,0.024458018,0.149143706,0.205120906,0.0585098,0.160835949,0.186690722,0.214761034,0,0.420165929,0.04449243,0.151230489,0.155062081,0.276421825,0.056214094,0.263163961,0.102724958,0.256086784,0.018409281,0.061637491,0.050823136,0,0.006754239,0.094290575,0.244045058,0.176017492,0.037828304,0.150613564,0.065708055,0.185961147,0.19655225,0.235027293,1,0.003532755,0.094159146,0.029128894,0.016190949,0.06541832,0.008887662,0.101984983,0.099590293,0.092525445,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0.357762764,0.186220379,0.261499264,0.308466292,0.317931849,0.45397445,0,0.03563534,0.333945215,0.041015798,0.297639954,0.084510924,0.320887532,0.266576479,1,0.525993983,0.680474519,0.02469735,0.143994836,0.346300029,0.16413821,0.065096021,0.065922408,0.255942307,0.406161993,0.137974064,0,0.217658718,0.040306613,0.50023478,0.0836033,0.042764897,0.31659959,0.242100622,0.21788139,0.494628188,0.586533367,0.242604107,0.337007999,0.199210295,0,0.119101544,0.338162988,0.214411278,0.029864014,0.639100544,0.478610714,0.384530363,0.054299633,0.18351086,0.097127503,0.145922788,0.143501337,0.144614617,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
0.144959485,0.289798802,0.434757288,0.473534069,0.447391768,0.394679301,0.740517628,0.086366929,0,1,0.491086433,0.850102739,0.66303309,0.814527082,0.63000984,0.108729836,0.107012846,0.09253937,0.046323213,0.011201386,0.049616754,0.007960305,0.110869543,0.05388662,0.010667079,0.065547446,0.028052233,0,0.001412021,0.096802051,0.105678491,0.042435843,0.016816739,0.099039307,0.111965407,0.428867291,0.195629268,0.082454986,0.048969746,0.115994801,0.077202765,0.023018772,0.080600724,0.09305366,0.134834457,0.042677727,0.220663834,0.231876382,0.66364187,0.037724413,0.070801623,0.03758284,0.652523532,0.516907126,0.741332637,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
