D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Bathymasteridae;Rathbunella;Rathbunella hypoplecta
0.002524901829854282,0.008898234793288131,0.022397406422256242,0.00435673896905008,0.00469642238328971,3.1427440165283867e-4,7.848666881263146e-4,0.012405598465503136,6.254289781497283e-4,0.009503888588024763,0,9.106370929536924e-4,0.009061604557805724,0.007303303542556577,0.0037838095037123214,0.001499520911088375,0.0017146444595991072,0,0.0381696102908957,0.1211690374096686,0.05400240574356854,0.002153297529978908,0.019432018091357504,3.039617398335422e-4,9.8898278717974e-4,0.0354522354176313,0.1211690374096686,0.10757016173139392,0.0013700512093229881,0.013746163226945026,0.021240374170400502,0.00762796387149452,6.144882784406684e-4,0.02271767973303621,0.01262059019608969,0.005717563283695373,0.0016257536030880276,0.06927767946665767,0.018619461028018,0.03418224517468707,0.0016609192233574496,0,0.0019381283529596948,0.033545673656664866,0.023386770714276806,0.0496256482719628,0.03464507002744399,0.002344338916354421,0.03228412354401307,0.0021019686159180692,0,0.005472765999978619,0.003960796382965059,0.003095652146601018,0.005386101167541086,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005217247438373761,0,0,0,0,0.1802300614986061,0,0.0896164699575262,0,0,0.7249362211054939,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Sylviidae;Regulus;Regulus calendula
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32507356325454645,0,0,0.6749264367454536,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Ziphiidae;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lophiiformes;Lophiidae;Lophiodes;Lophiodes caulinaris
0,0,0,0,0,0,0,0,0,0,0,0,0.9234745738771567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07652542612284334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Stenella;Stenella attenuata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa delicatissima
0,0,0,0,0,0,0,0,0,0,0,0,0.06066505003356147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05997782618512102,0,0.5572645665233459,0,0,0.3220925572579716,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Ziphiidae;Mesoplodon;
